Date,Close/Last,Open,High,Low,RSI
2020-08-21,3397.16,3386.01,3399.96,3379.31,37.6396382703854
2020-08-24,3431.28,3418.09,3432.09,3413.13,51.028277634961384
2020-08-25,3443.62,3435.95,3444.21,3425.84,56.56076364154421
2020-08-26,3478.73,3449.97,3481.07,3444.15,67.21336603310849
2020-08-27,3484.55,3485.14,3501.38,3468.35,75.58089368258845
2020-08-28,3508.01,3494.69,3509.23,3484.32,81.25122317176583
2020-08-31,3500.31,3509.73,3514.77,3493.25,78.85520894643892
2020-09-01,3526.65,3507.44,3528.03,3494.6,69.78318900970119
2020-09-02,3580.84,3543.76,3588.11,3535.23,67.7668184117351
2020-09-03,3455.06,3564.74,3564.85,3427.41,71.10439625548067
2020-09-04,3426.96,3453.6,3479.15,3349.63,73.44838850174226
2020-09-08,3331.84,3371.88,3379.97,3329.27,71.02542775665415
2020-09-09,3398.96,3369.82,3424.77,3366.84,78.5458551363261
2020-09-10,3339.19,3412.56,3425.55,3329.25,82.10511807406053
2020-09-11,3340.97,3352.7,3368.95,3310.47,80.30825856912821
2020-09-14,3383.54,3363.56,3402.93,3363.56,69.42751571572529
2020-09-15,3401.2,3407.73,3419.48,3389.25,74.7628847530423
2020-09-16,3385.49,3411.23,3428.92,3384.45,74.22435458076313
2020-09-17,3357.01,3346.86,3375.17,3328.82,70.26670883407131
2020-09-18,3319.47,3357.38,3362.27,3292.4,58.23766677009001
2020-09-21,3281.06,3285.57,3285.57,3229.1,63.555486790701316
2020-09-22,3315.57,3295.75,3320.31,3270.95,72.84341256971092
2020-09-23,3236.92,3320.11,3323.35,3232.57,75.22372693434696
2020-09-24,3246.59,3226.14,3278.7,3209.45,76.600598354525
2020-09-25,3298.46,3236.66,3306.88,3228.44,70.98701990788317
2020-09-28,3351.6,3333.9,3360.74,3332.91,70.61305915752322
2020-09-29,3335.47,3350.92,3357.92,3327.54,69.27273456616795
2020-09-30,3363.0,3341.21,3393.56,3340.47,64.98925910690619
2020-10-01,3380.8,3385.87,3397.18,3361.39,69.64449636985728
2020-10-02,3348.44,3338.94,3369.1,3323.69,78.08033826638487
2020-10-05,3408.63,3367.27,3409.57,3367.27,82.61102911579238
2020-10-06,3360.95,3408.74,3431.56,3354.54,68.03970501640352
2020-10-07,3419.45,3384.56,3426.26,3384.56,67.8031694019943
2020-10-08,3446.83,3434.28,3447.28,3428.15,77.41839850582551
2020-10-09,3477.13,3459.67,3482.34,3458.07,74.06837886471452
2020-10-12,3534.22,3500.02,3549.85,3499.61,74.17568095920758
2020-10-13,3511.93,3534.01,3534.01,3500.86,81.02556736569949
2020-10-14,3488.67,3515.47,3527.94,3480.55,68.21863681264406
2020-10-15,3483.34,3453.72,3489.08,3440.89,63.07489344428658
2020-10-16,3483.81,3493.5,3515.76,3480.45,58.430790057533905
2020-10-19,3426.92,3493.66,3502.42,3419.93,53.46812542457723
2020-10-20,3443.12,3439.38,3476.93,3435.65,52.59266004917583
2020-10-21,3435.56,3439.91,3464.86,3433.06,45.65480513192934
2020-10-22,3453.49,3438.5,3460.53,3415.34,40.297457377532
2020-10-23,3465.39,3464.9,3466.46,3440.45,30.747071978167767
2020-10-26,3400.97,3441.42,3441.42,3364.86,36.79164669348285
2020-10-27,3390.68,3403.15,3409.51,3388.71,36.298343698306006
2020-10-28,3271.03,3342.48,3342.48,3268.89,34.022988505747094
2020-10-29,3310.11,3277.17,3341.05,3259.82,30.118261403778206
2020-10-30,3269.96,3293.59,3304.93,3233.94,26.9420077005517
2020-11-02,3310.24,3296.2,3330.14,3279.74,4.009883367883177
2020-11-03,3369.02,3336.25,3389.49,3336.25,11.158846806105032
2020-11-04,3443.44,3406.46,3486.25,3405.17,17.33919682984572
2020-11-05,3510.45,3485.74,3529.05,3485.74,18.86683317996571
2020-11-06,3509.44,3508.34,3521.58,3484.34,33.115673957841864
2020-11-09,3550.5,3583.04,3645.99,3547.48,34.49801833345491
2020-11-10,3545.53,3543.26,3557.22,3511.91,45.90480974507093
2020-11-11,3572.66,3563.22,3581.16,3557.0,50.083577672430344
2020-11-12,3537.01,3562.67,3569.02,3518.58,51.232413274621464
2020-11-13,3585.15,3552.57,3593.66,3552.57,43.37207302390722
2020-11-16,3626.91,3600.16,3628.51,3600.16,39.08855377665578
2020-11-17,3609.53,3610.31,3623.11,3588.68,39.28082645357821
2020-11-18,3567.79,3612.09,3619.09,3567.33,49.32779329942449
2020-11-19,3581.87,3559.41,3585.22,3543.84,47.45899002894822
2020-11-20,3557.54,3579.31,3581.23,3556.85,59.19080775953469
2020-11-23,3577.59,3566.82,3589.81,3552.77,47.21077145457464
2020-11-24,3635.41,3594.52,3642.31,3594.52,40.83927955648694
2020-11-25,3629.65,3635.5,3635.5,3617.76,40.72800380932227
2020-11-27,3638.35,3638.55,3644.31,3629.33,40.22516273610078
2020-11-30,3621.63,3634.18,3634.18,3594.39,41.53838125554451
2020-12-01,3662.45,3645.87,3678.45,3645.87,37.34690453554051
2020-12-02,3669.01,3653.78,3670.96,3644.84,37.35317149569302
2020-12-03,3666.72,3668.28,3682.73,3657.17,40.764246991934435
2020-12-04,3699.12,3670.94,3699.2,3670.94,51.129959265665974
2020-12-07,3691.96,3694.73,3697.41,3678.88,63.411054028114954
2020-12-08,3702.25,3683.05,3708.45,3678.83,59.77901156907253
2020-12-09,3672.82,3705.98,3712.39,3660.54,49.48031988329988
2020-12-10,3668.1,3659.13,3678.49,3645.18,58.00465161352843
2020-12-11,3663.46,3656.08,3665.91,3633.4,48.53337657862194
2020-12-14,3647.49,3675.27,3697.61,3645.84,52.769390139075625
